vendor,baseline_f1,counterfactual_f1,f1_difference
openai,0.9630049819957579,0.9917200854700855,-0.028715103474327597
gemini,0.9627894570128204,0.9788513876609981,-0.016061930648177736
anthropic,0.9713015956312829,0.9623577030103718,0.00894389262091111
