vendor,condition,f1_macro,baseline_f1,abs_degradation,rel_degradation_pct
openai,baseline,0.9630049819957579,0.9630049819957579,0.0,0.0
openai,title_only,0.8210683844101763,0.9630049819957579,0.14193659758558164,14.73892661400654
openai,doi_only,0.6559479054779807,0.9630049819957579,0.30705707651777725,31.885305087562866
openai,counterfactual,0.9917200854700855,0.9630049819957579,-0.028715103474327597,-2.981822940813622
openai,counterfactual_with_doi,0.9876683273319193,0.9630049819957579,-0.024663345336161435,-2.5610818009527265
gemini,baseline,0.9627894570128204,0.9627894570128204,0.0,0.0
gemini,title_only,0.8764283816104173,0.9627894570128204,0.08636107540240312,8.969881709169272
gemini,doi_only,0.6337200440342112,0.9627894570128204,0.32906941297860914,34.17875118819745
gemini,counterfactual,0.9788513876609981,0.9627894570128204,-0.016061930648177736,-1.6682703088598378
gemini,counterfactual_with_doi,0.9660048763497039,0.9627894570128204,-0.0032154193368835182,-0.3339691054428219
anthropic,baseline,0.9713015956312829,0.9713015956312829,0.0,0.0
anthropic,title_only,0.7837617299061608,0.9713015956312829,0.18753986572512216,19.30809818172217
anthropic,doi_only,0.626759645464025,0.9713015956312829,0.34454195016725797,35.472190277143326
anthropic,counterfactual,0.9623577030103718,0.9713015956312829,0.00894389262091111,0.920815188726027
anthropic,counterfactual_with_doi,0.9452659457073493,0.9713015956312829,0.02603564992393359,2.6804908013161564
